Date;Filière;Valeur (TWh);Nature
2016-12;"Nucléaire";36,648669139;Données Consolidées
2017-01;"Nucléaire";40,491546163667;Données Consolidées
2017-02;"Nucléaire";33,689348332999;Données Consolidées
2017-03;"Nucléaire";34,272584850666;Données Consolidées
2017-04;"Nucléaire";31,752167625837;Données Consolidées
2017-05;"Nucléaire";30,136479560664;Données Consolidées
2017-06;"Nucléaire";26,881570487665;Données Consolidées
2017-07;"Nucléaire";28,158949644167;Données Consolidées
2017-08;"Nucléaire";28,585312193166;Données Consolidées
2017-09;"Nucléaire";29,345826152166;Données Consolidées
2017-10;"Nucléaire";28,053906030166;Données Consolidées
2017-11;"Nucléaire";30,334659935334;Données Consolidées
2017-12;"Nucléaire";37,382680159334;Données Consolidées
2018-01;"Nucléaire";40,792988055835;Données Consolidées
2018-02;"Nucléaire";36,409552789833;Données Consolidées
2018-03;"Nucléaire";35,678215544833;Données Consolidées
2018-04;"Nucléaire";30,592859141335;Données Consolidées
2018-05;"Nucléaire";30,581938587499;Données Consolidées
2018-06;"Nucléaire";28,624022986332;Données Consolidées
2018-07;"Nucléaire";29,958812298334;Données Consolidées
2018-08;"Nucléaire";27,294682993332;Données Consolidées
2018-09;"Nucléaire";30,098993516666;Données Consolidées
2018-10;"Nucléaire";31,613910839835;Données Consolidées
2018-11;"Nucléaire";32,658276813835;Données Consolidées
2018-12;"Nucléaire";38,890266086336;Données Consolidées
2019-01;"Nucléaire";40,157955925498;Données Consolidées
2019-02;"Nucléaire";36,089868409333;Données Consolidées
2019-03;"Nucléaire";35,497659047164;Données Consolidées
2019-04;"Nucléaire";31,756632938166;Données Consolidées
2019-05;"Nucléaire";31,668783221834;Données Consolidées
2019-06;"Nucléaire";28,560142913833;Données Consolidées
2019-07;"Nucléaire";29,194282207;Données Consolidées
2019-08;"Nucléaire";27,721121022336;Données Consolidées
2019-09;"Nucléaire";27,533421486166;Données Consolidées
2019-10;"Nucléaire";29,162874816835;Données Consolidées
2019-11;"Nucléaire";29,133620008001;Données Consolidées
2019-12;"Nucléaire";32,984750620501;Données Consolidées
2020-01;"Nucléaire";37,351314809338;Données Consolidées
2020-02;"Nucléaire";33,177686259498;Données Consolidées
2020-03;"Nucléaire";30,623833102496;Données Consolidées
2020-04;"Nucléaire";26,823039148328;Données Consolidées
2020-05;"Nucléaire";24,714613244836;Données Consolidées
2020-06;"Nucléaire";21,334596445834;Données Consolidées
2020-07;"Nucléaire";22,49847065383;Données Consolidées
2020-08;"Nucléaire";22,875852133;Données Consolidées
2020-09;"Nucléaire";21,739624138333;Données Consolidées
2020-10;"Nucléaire";28,270693503166;Données Consolidées
2020-11;"Nucléaire";31,564590736489;Données Consolidées
2020-12;"Nucléaire";34,431262285226;Données Consolidées
2021-01;"Nucléaire";37,174108035832;Données Consolidées
2021-02;"Nucléaire";30,336785591833;Données Consolidées
2021-03;"Nucléaire";31,69479333367;Données Consolidées
2021-04;"Nucléaire";27,208831896503;Données Consolidées
2021-05;"Nucléaire";27,573972984165;Données Consolidées
2021-06;"Nucléaire";27,714204398831;Données Consolidées
2021-07;"Nucléaire";28,449016344664;Données Consolidées
2021-08;"Nucléaire";29,010558217169;Données Consolidées
2021-09;"Nucléaire";29,000377609003;Données Consolidées
2021-10;"Nucléaire";30,656001827667;Données Consolidées
2021-11;"Nucléaire";30,369317417002;Données Consolidées
2021-12;"Nucléaire";31,501749478839;Données Consolidées
2022-01;"Nucléaire";35,219864217167;Données Consolidées
2022-02;"Nucléaire";29,577611471501;Données Consolidées
2022-03;"Nucléaire";26,851697454331;Données Consolidées
2022-04;"Nucléaire";21,76564298917;Données Consolidées
2022-05;"Nucléaire";20,52949872166;Données Consolidées
2022-06;"Nucléaire";20,174820272946;Données Consolidées
2022-07;"Nucléaire";18,780955418368;Données Consolidées
2022-08;"Nucléaire";18,133046525454;Données Consolidées
2022-09;"Nucléaire";18,190495548696;Données Consolidées
2022-10;"Nucléaire";20,224827015238;Données Consolidées
2022-11;"Nucléaire";21,59726364462;Données Consolidées
2022-12;"Nucléaire";27,91236863021;Données Consolidées
2023-01;"Nucléaire";30,770802043993;Données Consolidées
2023-02;"Nucléaire";28,786849073504;Données Consolidées
2023-03;"Nucléaire";25,637451082995;Données Consolidées
2023-04;"Nucléaire";24,990279800504;Données Consolidées
2023-05;"Nucléaire";25,176602810326;Données Consolidées
2023-06;"Nucléaire";22,723899675663;Données Consolidées
2023-07;"Nucléaire";24,063773120657;Données Consolidées
2023-08;"Nucléaire";23,944547601173;Données Consolidées
2023-09;"Nucléaire";26,941770872344;Données Consolidées
2023-10;"Nucléaire";28,250480445677;Données Consolidées
2023-11;"Nucléaire";27,579291335504;Données Consolidées
2023-12;"Nucléaire";31,530377952096;Données Consolidées
2024-01;"Nucléaire";35,925790564938;Données Consolidées
2024-02;"Nucléaire";30,732701088268;Données Consolidées
2024-03;"Nucléaire";29,894501689584;Données Consolidées
2024-04;"Nucléaire";26,670103615333;Données Consolidées
2024-05;"Nucléaire";27,846070517741;Données Consolidées
2024-06;"Nucléaire";26,367144548511;Données Consolidées
2024-07;"Nucléaire";28,581336680507;Données Consolidées
2024-08;"Nucléaire";28,598406833673;Données Consolidées
2024-09;"Nucléaire";27,447947349506;Données Consolidées
2024-10;"Nucléaire";29,963098481182;Données Consolidées
2024-11;"Nucléaire";33,030789641422;Données Consolidées
2024-12;"Nucléaire";36,651863008421;Données Consolidées
2025-01;"Nucléaire";38,768351017735;Données Consolidées
2025-02;"Nucléaire";32,005365712429;Données Consolidées
2025-03;"Nucléaire";32,273660059002;Données Consolidées
2025-04;"Nucléaire";27,070799856826;Données Consolidées
2025-05;"Nucléaire";25,512705626909;Données Consolidées
2025-06;"Nucléaire";26,209817406101;Données Consolidées
2025-07;"Nucléaire";29,533908364995;Données Consolidées
